algo,param,time,fitness
RHC,10,1.3750107288360596,606.0817582273085
GA,200,14.133503913879395,732.639198221581
SA,1.0,0.03991413116455078,954.9455464089976
MIMIC,200,46.360177993774414,769.8371272943352
RHC,10,1.1506011486053467,596.2059369391435
GA,200,4.9590747356414795,808.2131085590385
SA,1.0,0.2505159378051758,717.5947948060743
MIMIC,200,44.14374017715454,719.6540608372321
RHC,10,1.5150268077850342,594.8461835728048
GA,200,11.401157140731812,800.7486476880777
SA,1.0,0.4636960029602051,560.9382379591973
MIMIC,200,50.68130874633789,699.6742332252568
RHC,10,1.1450459957122803,611.7901707130112
GA,200,6.914170265197754,788.5911643654637
SA,1.0,0.13507509231567383,789.83816013719
MIMIC,200,38.58676195144653,783.5380126271988
RHC,10,1.43123197555542,575.6816952991073
GA,200,5.970746040344238,803.8437921768545
SA,1.0,0.07788681983947754,773.7935506845116
MIMIC,200,32.78908085823059,824.432821711441
