algo,param,time,fitness
RHC,10,0.8849139213562012,644.0
GA,200,4.043008089065552,697.0
SA,1.0,0.13148808479309082,652.0
MIMIC,200,133.78026914596558,639.0
RHC,10,0.8751020431518555,651.0
GA,200,4.231863021850586,679.0
SA,1.0,0.15894389152526855,639.0
MIMIC,200,2253.385562181473,637.0
RHC,10,0.857928991317749,646.0
GA,200,5.547836780548096,693.0
SA,1.0,0.1093606948852539,662.0
MIMIC,200,139.10065388679504,623.0
RHC,10,0.9247088432312012,644.0
GA,200,3.245569944381714,698.0
SA,1.0,0.051625967025756836,700.0
MIMIC,200,154.92563199996948,632.0
RHC,10,1.0956709384918213,634.0
GA,200,4.595427989959717,688.0
SA,1.0,0.14810872077941895,661.0
MIMIC,200,151.41547083854675,627.0
