32,99
41,81
37,122
31,84
42,73
44,123
35,106
31,92
38,77
34,118
33,117
33,96
40,75
45,122
34,118
28,81
40,78
35,101
42,93
33,117
40,85
42,71
42,83
38,77
38,76
37,121
34,117
44,93
44,88
34,118
38,121
42,87
42,71
32,97
38,77
39,105
35,82
39,77
33,83
33,84
39,74
41,71
32,85
47,122
33,81
44,69
39,104
41,88
30,97
33,112
34,117
35,119
34,117
39,76
41,70
35,89
30,91
42,85
40,74
29,94
30,94
39,84
45,122
32,97
39,76
33,118
38,90
41,95
47,122
33,118
48,122
44,121
37,122
41,87
38,77
40,75
42,70
42,71
45,108
30,88
42,75
33,86
46,100
37,80
45,93
42,83
40,74
40,88
39,86
44,93
39,94
26,80
43,116
41,88
26,81
32,93
42,71
40,105
40,111
41,70
38,76
36,86
26,80
27,82
27,82
33,117
47,122
37,121
40,73
41,70
40,74
41,73
41,70
41,72
42,71
36,95
43,88
42,71
45,93
39,105
25,97
30,96
33,118
42,87
42,78
34,118
38,77
36,79
44,93
34,119
42,71
39,75
42,83
40,81
26,82
33,117
39,86
38,121
25,80
41,88
32,96
39,119
33,118
35,78
32,110
42,106
39,104
37,122
32,110
33,116
39,76
32,96
30,97
41,91
39,104
38,77
37,120
33,118
40,88
33,111
38,77
35,79
32,79
38,81
35,80
35,85
42,78
39,75
36,76
38,90
41,104
41,87
39,121
42,72
33,117
34,117
32,117
41,87
39,84
38,121
36,87
27,82
41,81
41,81
40,74
42,82
36,119
26,80
47,116
30,96
38,104
34,117
39,76
38,92
34,80
32,84
39,85
39,82
33,118
37,122
35,80
43,71
30,95
35,92
45,93
32,96
25,80
26,80
33,117
27,97
44,123
33,117
41,95
25,80
34,117
39,84
41,71
42,88
34,118
37,122
41,81
33,118
38,77
32,96
37,122
41,73
37,121
36,79
41,90
26,80
38,121
39,84
29,81
42,83
42,83
34,86
39,88
26,80
41,88
35,119
26,80
28,81
41,70
33,97
39,104
41,93
42,87
32,96
42,83
34,117
31,85
39,75
41,88
33,118
37,121
42,90
46,92
39,76
35,78
42,70
44,93
40,74
41,72
27,82
42,84
34,118
40,74
41,71
44,91
44,93
44,93
26,98
40,74
35,97
47,122
28,82
32,116
33,112
34,118
31,106
39,76
42,88
40,74
38,121
41,85
39,76
41,87
41,82
33,117
36,97
42,80
33,117
41,81
44,123
32,97
42,87
37,87
47,122
38,122
41,73
39,84
41,71
41,70
46,96
42,83
36,108
36,94
35,78
47,122
41,83
39,86
42,71
35,111
43,83
33,118
38,90
33,97
38,121
43,88
34,117
40,105
26,80
26,81
35,94
41,85
32,97
33,117
25,80
42,71
38,77
38,84
35,86
39,77
40,73
37,122
36,119
33,96
33,117
29,82
39,77
29,94
33,117
33,118
32,96
41,87
35,81
30,97
39,77
33,111
37,121
39,76
33,112
34,118
34,117
42,87
33,112
47,97
40,98
39,108
32,97
42,85
32,97
47,111
28,82
40,104
44,87
36,79
35,77
34,82
41,73
39,86
45,122
30,89
